,ori,,,
1582891719628,44.49991,-6.164073,0.67088014,DATA
1582891719644,46.65103,-5.584253,-0.046803236,DATA
1582891719665,45.27014,-6.413184,0.28428644,DATA
1582891719685,43.43158,-7.7299376,0.44394132,DATA
1582891719704,45.109375,-6.4370675,0.15077446,DATA
1582891719725,46.042877,-5.8342376,0.053648796,DATA
1582891719744,45.484283,-6.356282,0.1430687,DATA
1582891719766,44.395325,-7.1349626,0.22592169,DATA
1582891719785,45.32489,-6.263951,0.09202254,DATA
1582891719817,45.994995,-5.8342104,0.005887623,DATA
1582891719824,45.406525,-6.3863344,0.118888274,DATA
1582891719871,44.595276,-6.995733,0.15786529,DATA
1582891719871,45.283813,-6.2569776,0.06780843,DATA
1582891719888,45.89804,-5.877273,-0.019406704,DATA
1582891719907,45.474335,-6.3822436,0.029428087,DATA
1582891719927,44.82373,-6.916458,0.037640963,DATA
1582891719947,45.429688,-6.234098,-0.08524399,DATA
1582891719970,46.00467,-5.8789306,-0.19812305,DATA
1582891719987,45.613983,-6.3910937,-0.13854967,DATA
1582891720013,45.064056,-6.8856983,-0.15077683,DATA
1582891720047,45.47751,-6.325919,-0.23231459,DATA
1582891720049,45.89557,-6.0157285,-0.2874307,DATA
1582891720068,45.692505,-6.3854365,-0.2441147,DATA
1582891720090,45.247528,-6.768237,-0.23114043,DATA
1582891720109,45.532013,-6.3508525,-0.2522239,DATA
1582891720130,45.833923,-6.0961227,-0.30298582,DATA
1582891720153,45.539886,-6.4627786,-0.17169777,DATA
1582891720169,45.190216,-6.775784,-0.1833275,DATA
1582891720188,45.483856,-6.302892,-0.18325749,DATA
1582891720218,45.901794,-6.0625534,-0.319859,DATA
1582891720245,45.5708,-6.4821405,-0.13676506,DATA
1582891720254,45.20047,-6.79532,-0.12871395,DATA
1582891720270,45.502472,-6.3286085,-0.19017182,DATA
1582891720289,45.790405,-6.1181707,-0.26301166,DATA
1582891720313,45.644287,-6.445512,-0.20455182,DATA
1582891720331,45.42102,-6.6398754,-0.22984566,DATA
1582891720355,45.763855,-6.099776,-0.27072132,DATA
1582891720374,46.251465,-5.7621503,-0.38466957,DATA
1582891720392,45.88684,-6.282494,-0.12008335,DATA
1582891720425,45.346375,-6.71815,0.0045557367,DATA
1582891720448,45.809143,-5.956921,-0.20037447,DATA
1582891720452,46.294037,-5.575347,-0.29420903,DATA
1582891720471,45.869873,-6.270252,-0.0888783,DATA
1582891720497,45.500275,-6.602491,-0.08233306,DATA
1582891720512,45.76935,-6.1455016,-0.29935488,DATA
1582891720533,46.22046,-5.7529883,-0.3850323,DATA
1582891720554,46.027252,-6.1363406,-0.31648055,DATA
1582891720577,45.656616,-6.5754023,-0.2830948,DATA
1582891720597,45.658936,-6.2871976,-0.33348054,DATA
1582891720614,45.981415,-5.88891,-0.3620609,DATA
1582891720645,45.85898,-6.177017,-0.27114692,DATA
1582891720653,45.73697,-6.3213124,-0.25231785,DATA
1582891720674,45.92502,-6.0349917,-0.36929852,DATA
1582891720695,46.148834,-5.9668827,-0.4443517,DATA
1582891720714,46.011932,-6.3637724,-0.50093824,DATA
1582891720739,45.93979,-6.4015346,-0.5059533,DATA
1582891720756,46.18576,-6.183718,-0.66344255,DATA
1582891720777,46.31903,-6.1488066,-0.7099284,DATA
1582891720804,46.197113,-6.4161477,-0.7137184,DATA
1582891720820,46.06314,-6.3776445,-0.6609899,DATA
1582891720836,46.204926,-6.174554,-0.7626991,DATA
1582891720876,46.013763,-6.3711557,-0.692718,DATA
1582891720880,45.82141,-6.517863,-0.61557883,DATA
1582891720896,45.740753,-6.3283305,-0.5904295,DATA
1582891720917,45.939392,-6.094826,-0.6999267,DATA
1582891720938,45.77942,-6.3138647,-0.51923555,DATA
1582891720956,45.652008,-6.510079,-0.6123366,DATA
1582891720982,45.801575,-6.2413473,-0.66780806,DATA
1582891720998,45.680664,-6.318366,-0.54900366,DATA
1582891721018,45.692688,-6.5941243,-0.73520327,DATA
1582891721039,45.464172,-6.8263474,-0.6222845,DATA
1582891721057,45.354767,-6.758954,-0.6487196,DATA
1582891721079,45.30426,-6.840551,-0.65015256,DATA
1582891721099,44.88086,-7.325616,-0.507027,DATA
1582891721120,44.884888,-7.128843,-0.60832256,DATA
1582891721138,44.592102,-7.400533,-0.37039563,DATA
1582891721160,44.586884,-7.3378687,-0.5185318,DATA
1582891721178,44.41092,-7.600884,-0.27426323,DATA
1582891721201,44.160583,-7.8270407,-0.34424704,DATA
1582891721221,44.12903,-7.7738028,-0.22078407,DATA
1582891721244,43.92978,-7.991164,-0.1929056,DATA
1582891721261,44.00934,-8.008199,-0.26673564,DATA
1582891721280,43.892456,-8.144525,-0.15300731,DATA
1582891721302,43.664703,-8.424392,-0.20486043,DATA
1582891721322,43.559784,-8.323164,-0.09753365,DATA
1582891721340,43.111694,-8.647334,0.09799341,DATA
1582891721361,42.91342,-8.500475,0.08961788,DATA
1582891721380,42.469055,-8.68666,0.3989838,DATA
1582891721404,42.04779,-8.753679,0.41561618,DATA
1582891721432,41.56555,-8.703977,0.7503613,DATA
1582891721468,40.78647,-8.972529,1.153588,DATA
1582891721468,40.167603,-8.874761,1.3397352,DATA
1582891721483,39.36563,-8.8289995,1.854597,DATA
1582891721501,38.436584,-8.983552,2.1553688,DATA
1582891721522,37.677002,-8.682391,2.529611,DATA
1582891721546,36.586212,-8.783245,3.0961885,DATA
1582891721563,35.48639,-8.785043,3.612306,DATA
1582891721583,34.419342,-8.546553,4.152303,DATA
1582891721602,33.277954,-8.593833,4.6665506,DATA
1582891721625,32.240234,-8.338995,5.179375,DATA
1582891721657,30.909088,-8.143956,5.9909906,DATA
1582891721667,29.747437,-8.03175,6.3928657,DATA
1582891721683,28.55606,-7.8850803,6.9698806,DATA
1582891721705,27.17212,-7.9657106,7.6343374,DATA
1582891721725,26.042725,-7.388733,8.120098,DATA
1582891721747,24.736938,-7.199879,8.820898,DATA
1582891721766,23.49118,-7.687922,9.246146,DATA
1582891721787,22.454163,-7.03099,9.707609,DATA
1582891721805,21.41336,-6.6916423,10.286647,DATA
1582891721828,20.597168,-6.6674285,10.515093,DATA
1582891721858,19.533936,-6.516876,11.215091,DATA
1582891721866,18.767212,-6.5494223,11.463095,DATA
1582891721890,18.295044,-6.5282125,11.535268,DATA
1582891721905,17.824158,-6.039072,11.828016,DATA
1582891721926,17.537262,-6.4749,11.925902,DATA
1582891721948,17.541992,-6.5265007,11.658746,DATA
1582891721969,17.415283,-6.307418,11.8735695,DATA
1582891721989,17.69159,-6.545681,11.441475,DATA
1582891722007,17.896362,-6.7386346,11.306912,DATA
1582891722035,17.871277,-6.6161966,11.461768,DATA
1582891722051,18.192444,-7.177993,10.976872,DATA
1582891722081,18.389648,-7.084398,10.900922,DATA
1582891722088,18.500854,-7.178074,10.906268,DATA
1582891722109,18.876709,-7.4657893,10.378675,DATA
1582891722127,19.032776,-7.240057,10.42874,DATA
1582891722149,19.357452,-7.537783,10.144255,DATA
1582891722169,19.55014,-8.228229,9.876669,DATA
1582891722190,19.730225,-8.041353,9.861291,DATA
1582891722215,19.852173,-8.072387,9.755182,DATA
1582891722239,19.999695,-8.631934,9.555981,DATA
1582891722272,19.933105,-8.24514,9.702749,DATA
1582891722272,20.16278,-8.415928,9.443984,DATA
1582891722290,20.236267,-8.810905,9.266888,DATA
1582891722310,20.096619,-8.823854,9.607718,DATA
1582891722329,20.169373,-8.331488,9.450897,DATA
1582891722355,20.45514,-8.316747,9.115585,DATA
1582891722372,20.259491,-8.725581,9.437706,DATA
1582891722390,20.157867,-9.2347765,9.455311,DATA
1582891722412,20.055603,-9.131214,9.421939,DATA
1582891722433,19.829193,-8.632287,9.685104,DATA
1582891722458,19.599426,-8.940715,9.7530365,DATA
1582891722471,19.372253,-9.073632,9.723943,DATA
1582891722490,19.027374,-8.7567625,10.099204,DATA
1582891722510,18.787903,-8.831439,10.148452,DATA
1582891722531,18.510254,-8.844865,10.229078,DATA
1582891722553,18.110992,-8.58825,10.659184,DATA
1582891722571,17.694092,-8.779524,10.820943,DATA
1582891722596,17.45987,-8.397143,10.853563,DATA
1582891722611,17.015106,-8.095451,11.307072,DATA
1582891722638,16.794647,-8.525722,11.24563,DATA
1582891722662,16.357544,-8.463262,11.587697,DATA
1582891722673,15.978912,-7.7581277,11.863155,DATA
1582891722694,15.574554,-8.120285,11.998349,DATA
1582891722713,14.943085,-8.420769,12.334943,DATA
1582891722734,14.1736145,-8.178415,12.81376,DATA
1582891722756,13.540405,-8.356534,12.994771,DATA
1582891722774,12.549438,-8.23649,13.579024,DATA
1582891722795,11.838287,-7.8936,13.922865,DATA
1582891722816,11.186554,-7.5384917,14.060411,DATA
1582891722838,10.448975,-7.4960995,14.491239,DATA
1582891722858,9.451904,-7.678147,14.9546175,DATA
1582891722875,8.8280945,-7.396189,15.044701,DATA
1582891722895,7.690735,-7.382288,15.773375,DATA
1582891722919,6.7787476,-7.9858685,16.042355,DATA
1582891722936,6.0486755,-6.986477,16.272062,DATA
1582891722964,5.1424866,-5.7613707,16.577723,DATA
1582891722978,4.450653,-6.7269306,16.619423,DATA
1582891723000,3.8052063,-7.257638,16.889973,DATA
1582891723017,2.718689,-6.4109917,17.420382,DATA
1582891723047,2.1513977,-6.082909,17.206453,DATA
1582891723083,1.2128296,-6.2744145,17.398169,DATA
1582891723083,0.29660034,-6.303888,17.763012,DATA
1582891723097,359.67807,-6.7229238,17.680809,DATA
1582891723118,359.29254,-6.6272273,17.628115,DATA
1582891723137,358.77628,-6.525099,17.709894,DATA
1582891723162,358.41965,-6.9152756,17.43166,DATA
1582891723179,357.87277,-6.7306614,17.41231,DATA
1582891723198,357.41623,-6.8876967,17.408468,DATA
1582891723220,356.9708,-7.729242,17.328043,DATA
1582891723247,356.68497,-7.2472105,17.102432,DATA
1582891723287,356.50995,-6.6714845,16.795364,DATA
1582891723287,356.3709,-7.5865564,16.457039,DATA
1582891723300,356.18762,-7.9678717,16.1795,DATA
1582891723319,355.981,-7.334853,16.006596,DATA
1582891723339,355.60138,-8.010325,15.768053,DATA
1582891723359,355.21503,-8.564168,15.662657,DATA
1582891723379,354.7457,-7.496173,15.546903,DATA
1582891723399,354.52408,-6.656589,14.831988,DATA
1582891723425,354.38635,-7.1847563,14.500724,DATA
1582891723445,353.9692,-8.72521,14.501417,DATA
1582891723478,353.66318,-9.2589245,14.256114,DATA
1582891723481,353.35614,-8.310486,13.981934,DATA
1582891723501,352.83566,-7.877954,13.859499,DATA
1582891723521,352.22913,-9.133382,13.799915,DATA
1582891723544,351.57437,-9.509167,13.751997,DATA
1582891723561,351.00024,-8.666508,13.596585,DATA
1582891723581,350.37454,-9.000175,13.538098,DATA
1582891723602,349.81247,-9.369818,13.351502,DATA
1582891723623,349.37668,-8.676421,13.07849,DATA
1582891723645,348.9883,-8.326775,12.717537,DATA
1582891723698,348.59805,-9.251239,12.564003,DATA
1582891723698,348.1748,-9.757756,12.426102,DATA
1582891723703,347.7523,-9.326059,12.188688,DATA
1582891723723,347.40707,-9.404628,11.866162,DATA
1582891723743,347.03745,-10.065918,11.670678,DATA
1582891723773,346.6203,-9.350543,11.301212,DATA
1582891723784,346.42642,-8.368613,10.655857,DATA
1582891723805,346.19846,-9.312447,10.315605,DATA
1582891723823,345.92865,-10.305619,10.120052,DATA
1582891723846,345.7824,-10.16423,9.726806,DATA
1582891723877,345.7527,-9.485016,9.137774,DATA
1582891723884,345.6164,-9.481988,8.685238,DATA
1582891723908,345.54282,-10.94436,8.534962,DATA
1582891723925,345.48663,-10.688454,8.037478,DATA
1582891723946,345.55527,-9.1563835,7.470202,DATA
1582891723968,345.53076,-9.350665,6.9352617,DATA
1582891723987,345.64075,-10.037387,6.4895587,DATA
1582891724006,345.67496,-10.463167,6.179867,DATA
1582891724025,345.7555,-9.899626,5.7594466,DATA
1582891724047,345.847,-9.602421,5.302496,DATA
1582891724071,345.8633,-11.379051,5.17657,DATA
1582891724092,345.85938,-11.559283,4.9161625,DATA
1582891724105,345.83627,-10.266411,4.58158,DATA
1582891724127,345.77106,-9.633892,4.1642265,DATA
1582891724148,345.64832,-10.5863695,4.1733975,DATA
1582891724170,345.6045,-11.568106,3.9372032,DATA
1582891724188,345.57697,-10.973082,3.7424595,DATA
1582891724209,345.48865,-10.782223,3.5450025,DATA
1582891724229,345.40512,-11.408834,3.4157317,DATA
1582891724250,345.24905,-11.616426,3.3744185,DATA
1582891724276,345.12253,-11.883181,3.3273363,DATA
1582891724288,345.0615,-12.221964,3.1519186,DATA
1582891724308,344.84555,-11.952236,3.18011,DATA
1582891724334,344.64862,-11.340493,3.070542,DATA
1582891724349,344.4072,-11.791323,2.9893668,DATA
1582891724370,344.29565,-12.237366,2.931703,DATA
1582891724392,344.085,-12.538775,3.0688424,DATA
1582891724413,343.94287,-11.753997,2.8054802,DATA
1582891724435,343.63516,-12.17117,3.0278761,DATA
1582891724456,343.35196,-12.219852,2.9481065,DATA
1582891724483,343.09152,-10.221723,2.7195714,DATA
1582891724491,342.76187,-10.641755,2.8033786,DATA
1582891724510,342.35904,-12.050814,2.8844337,DATA
1582891724533,342.15955,-11.479905,2.7283063,DATA
1582891724551,341.8883,-11.87131,2.6845562,DATA
1582891724575,341.6216,-12.069126,2.730106,DATA
1582891724590,341.30408,-10.238369,2.4735124,DATA
1582891724612,340.95862,-10.929689,2.4255738,DATA
1582891724631,340.67307,-12.380709,2.3476372,DATA
1582891724655,340.3947,-10.844279,2.2079298,DATA
1582891724678,339.99722,-9.022009,1.9120052,DATA
1582891724693,339.61676,-10.268254,1.7806942,DATA
1582891724712,339.1948,-11.79467,1.8447258,DATA
1582891724732,338.9905,-11.609525,1.575949,DATA
1582891724753,338.67517,-11.685848,1.4105623,DATA
1582891724775,338.41037,-11.089189,0.99479145,DATA
1582891724793,338.21088,-9.799595,0.49252388,DATA
1582891724817,337.82758,-10.283431,0.2895796,DATA
1582891724838,337.64935,-12.545027,0.2192558,DATA
1582891724865,337.56705,-12.17282,-0.2519522,DATA
1582891724911,337.37177,-9.742586,-0.90098816,DATA
1582891724911,337.22168,-10.627081,-1.2963291,DATA
1582891724918,337.08594,-12.860118,-1.6086518,DATA
1582891724935,337.01883,-12.556863,-2.0510576,DATA
1582891724955,336.7966,-11.27734,-2.437652,DATA
1582891724976,336.8314,-10.686279,-3.3482924,DATA
1582891724995,336.83636,-12.056686,-3.7654884,DATA
1582891725016,336.92575,-13.394405,-4.141046,DATA
1582891725035,337.07532,-12.683744,-4.816555,DATA
1582891725061,337.22818,-11.5431795,-5.6446958,DATA
1582891725111,337.42212,-12.008685,-6.3701887,DATA
1582891725111,337.66293,-11.766696,-7.1149964,DATA
1582891725121,337.77856,-11.145831,-7.5613027,DATA
1582891725136,338.09625,-12.397863,-8.252415,DATA
1582891725158,338.51797,-12.085585,-9.043195,DATA
1582891725176,338.82755,-11.151743,-9.61727,DATA
1582891725197,339.30026,-10.536932,-10.578108,DATA
1582891725217,339.6741,-10.904589,-11.039927,DATA
1582891725238,340.1677,-11.522374,-11.704216,DATA
1582891725257,340.73975,-11.029118,-12.391636,DATA
1582891725290,341.18048,-9.833027,-13.078784,DATA
1582891725298,341.71317,-9.607002,-13.73107,DATA
1582891725321,342.29617,-10.526536,-14.361846,DATA
1582891725341,342.84732,-10.026372,-14.8691,DATA
1582891725359,343.35733,-9.443606,-15.322531,DATA
1582891725382,343.94363,-10.015985,-15.897456,DATA
1582891725400,344.5919,-9.578755,-16.439592,DATA
1582891725420,345.1821,-8.743257,-16.847038,DATA
1582891725439,345.89075,-10.480467,-17.320086,DATA
1582891725462,346.59787,-10.612669,-17.819288,DATA
1582891725494,347.41037,-9.078364,-18.431427,DATA
1582891725502,348.09497,-8.675792,-18.834835,DATA
1582891725519,348.5886,-8.838825,-18.87253,DATA
1582891725540,349.2335,-10.163046,-19.249685,DATA
1582891725562,349.84088,-9.758016,-19.502825,DATA
1582891725581,350.42166,-8.411704,-19.637934,DATA
1582891725602,351.10678,-9.81789,-20.146528,DATA
1582891725623,351.63345,-10.20494,-20.064217,DATA
1582891725642,352.20816,-9.755755,-20.166279,DATA
1582891725661,352.97388,-9.639421,-20.534918,DATA
1582891725694,353.62662,-9.631329,-20.525288,DATA
1582891725703,354.08032,-9.568623,-20.282797,DATA
1582891725722,354.71216,-9.674192,-20.550856,DATA
1582891725746,355.31085,-10.880382,-20.513395,DATA
1582891725763,355.89563,-10.845826,-20.47689,DATA
1582891725782,356.60587,-8.130481,-20.604502,DATA
1582891725804,357.04306,-8.005109,-20.13499,DATA
1582891725824,357.6449,-12.148058,-20.338451,DATA
1582891725845,358.03738,-11.545587,-19.880013,DATA
1582891725870,358.66742,-9.977594,-19.845098,DATA
1582891725895,359.20502,-10.925353,-19.756287,DATA
1582891725903,359.52542,-11.719169,-19.2534,DATA
1582891725924,359.8786,-11.827456,-18.95074,DATA
1582891725945,0.24386597,-11.318723,-18.688044,DATA
1582891725964,0.70388794,-11.957573,-18.433628,DATA
1582891725989,0.961853,-12.399967,-17.862305,DATA
1582891726008,1.0257568,-13.195226,-17.292433,DATA
1582891726032,1.4028015,-13.281206,-17.296135,DATA
1582891726048,1.8860474,-11.331559,-16.951895,DATA
1582891726071,2.0870056,-10.752105,-16.308521,DATA
1582891726087,2.2085266,-13.004681,-15.8124075,DATA
1582891726126,2.3807983,-13.021896,-15.369023,DATA
1582891726126,2.5306396,-12.321071,-14.764284,DATA
1582891726146,2.6988525,-12.444759,-14.44603,DATA
1582891726166,2.807373,-12.853383,-14.027977,DATA
1582891726186,2.85849,-13.204101,-13.491766,DATA
1582891726206,2.9515686,-13.226558,-13.096029,DATA
1582891726229,3.1519775,-12.727148,-12.862976,DATA
1582891726247,3.3060608,-12.446445,-12.474166,DATA
1582891726276,3.3674622,-13.717834,-12.018074,DATA
1582891726314,3.3447266,-14.275445,-11.6176605,DATA
1582891726314,3.5717773,-11.788272,-11.492282,DATA
1582891726328,3.7961426,-10.232312,-11.293309,DATA
1582891726348,3.6314087,-13.997011,-10.613084,DATA
1582891726369,3.692047,-13.758233,-10.571175,DATA
1582891726390,3.8884888,-11.092829,-10.139063,DATA
1582891726408,4.0862427,-11.8347435,-10.1292925,DATA
1582891726431,4.3297424,-12.992739,-10.087621,DATA
1582891726450,4.4105225,-12.63344,-9.5624075,DATA
1582891726476,4.467804,-13.241463,-9.399228,DATA
1582891726532,4.584961,-13.580675,-9.169119,DATA
1582891726533,4.767639,-12.157829,-9.039381,DATA
1582891726533,4.813385,-11.339993,-8.71006,DATA
1582891726550,5.00058,-12.559936,-8.784901,DATA
1582891726574,5.256653,-12.821539,-8.792492,DATA
1582891726591,5.4724426,-11.101623,-8.526734,DATA
1582891726611,5.468994,-11.940465,-8.1064205,DATA
1582891726630,5.615143,-13.357945,-8.342995,DATA
1582891726651,5.8297424,-12.675642,-8.234136,DATA
1582891726672,6.01001,-11.724776,-8.06964,DATA
1582891726696,6.2817383,-11.849953,-8.2181835,DATA
1582891726714,6.5581665,-11.802997,-8.041889,DATA
1582891726733,6.682892,-11.941888,-7.8038883,DATA
1582891726756,6.749817,-12.401091,-7.5953574,DATA
1582891726772,6.8425293,-12.642972,-7.5072255,DATA
1582891726793,6.8280945,-13.170094,-7.307353,DATA
1582891726814,6.9095764,-12.880454,-7.262154,DATA
1582891726833,7.053528,-11.849446,-7.102889,DATA
1582891726853,7.3846436,-11.811919,-7.3977623,DATA
1582891726875,7.737549,-12.020094,-7.4379845,DATA
1582891726903,7.7808228,-12.77461,-6.9783373,DATA
1582891726918,7.778778,-12.451873,-6.8845687,DATA
1582891726934,7.873169,-11.483173,-6.7845473,DATA
1582891726960,7.874817,-12.05772,-6.6014776,DATA
1582891726975,7.9300537,-12.554392,-6.6472363,DATA
1582891726995,7.9865723,-12.248136,-6.4806066,DATA
1582891727016,8.291626,-10.624745,-6.559082,DATA
1582891727045,8.524445,-10.804904,-6.55613,DATA
1582891727056,8.371918,-12.676523,-6.171012,DATA
1582891727079,8.6528015,-11.0183525,-6.413545,DATA
1582891727113,8.902649,-9.942921,-6.355479,DATA
1582891727115,9.015533,-10.227916,-6.220274,DATA
1582891727135,8.99231,-10.942555,-5.903445,DATA
1582891727159,8.800476,-13.036352,-5.777132,DATA
1582891727178,8.926819,-11.517797,-5.8859,DATA
1582891727199,9.240448,-8.614674,-5.902475,DATA
1582891727219,9.550293,-9.527081,-6.1049967,DATA
1582891727236,9.714508,-12.052276,-5.7758565,DATA
1582891727257,9.712433,-12.262671,-5.6273446,DATA
1582891727285,9.926025,-10.909277,-5.6158285,DATA
1582891727300,9.942902,-11.909524,-5.5642347,DATA
1582891727317,9.778595,-13.734216,-5.312558,DATA
1582891727342,10.1073,-12.890178,-5.449261,DATA
1582891727359,10.41748,-11.833693,-5.5674367,DATA
